epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.2648,3.22569,9.01228,1.85723,5.80008,3.30633,0,0,0,0,0,0,0,0,4.02211,5.81058,0.79165,7.03978,4.26385,0,0,0
2,1.61754,2.90108,3.38563,0.70715,7.44105,3.16064,0,0,0,0,0,0,0,0,4.02211,5.81058,0.79165,7.03978,4.26385,0.000653467,0.000653467,0.000653467
3,1.99074,2.98602,8.31413,1.15833,7.02432,3.14705,0,0,0,0,0,0,0,0,4.02211,5.81058,0.79165,7.03978,4.26385,0.00128053,0.00128053,0.00128053
4,2.32732,2.88981,0,0.14535,4.97572,2.43595,0,0,0,0,0,0,0,0,3.82104,6.30293,0.89004,7.26508,4.04767,0.0018812,0.0018812,0.0018812
5,2.65597,3.52597,9.32839,0.70538,7.60693,3.20031,0,0,0,0,0,0,0,0,3.82104,6.30293,0.89004,7.26508,4.04767,0.0018416,0.0018416,0.0018416
6,2.98614,3.47843,9.32319,1.34444,6.74618,3.16098,0,0,0,0,0,0,0,0,3.82104,6.30293,0.89004,7.26508,4.04767,0.001802,0.001802,0.001802
7,3.30924,3.19792,4.81231,0.75154,6.1302,2.61876,0,0,0,0,0,0,0,0,3.84832,6.69166,0.87362,6.85583,3.90821,0.0017624,0.0017624,0.0017624
8,3.62001,3.00621,8.9524,1.73018,6.06087,3.0405,0,0,0,0,0,0,0,0,3.84832,6.69166,0.87362,6.85583,3.90821,0.0017228,0.0017228,0.0017228
9,3.92111,3.11541,9.02752,1.46213,6.54526,2.87824,0,0,0,0,0,0,0,0,3.84832,6.69166,0.87362,6.85583,3.90821,0.0016832,0.0016832,0.0016832
10,4.27642,3.62438,11.2257,1.7128,4.90806,3.09321,0,0,0,0,0,0,0,0,4.07067,7.5215,0.7895,6.24817,3.71677,0.0016436,0.0016436,0.0016436
11,4.56037,4.10761,0,0.06576,4.85153,3.70204,0,0,0,0,0,0,0,0,4.07067,7.5215,0.7895,6.24817,3.71677,0.001604,0.001604,0.001604
12,4.88876,2.60804,7.8815,1.17434,7.16677,3.38342,0,0,0,0,0,0,0,0,4.07067,7.5215,0.7895,6.24817,3.71677,0.0015644,0.0015644,0.0015644
13,5.245,2.28392,7.60758,1.23529,9.04345,2.66856,0,0,0,0,0,0,0,0,4.1955,8.63967,0.73111,6.06779,3.61346,0.0015248,0.0015248,0.0015248
